,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495.0,11.19047619047619,Low,0,1
1,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500.0,11.19047619047619,Low,0,1
2,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500.0,12.368421052631579,Medium,0,1
3,2,164,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950.0,9.791666666666666,Low,0,1
4,2,164,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450.0,13.055555555555555,Low,0,1
5,2,122,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250.0,12.368421052631579,Low,0,1
6,1,158,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710.0,12.368421052631579,Low,0,1
7,1,122,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920.0,12.368421052631579,Low,0,1
8,1,158,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875.0,13.823529411764707,Medium,0,1
9,2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430.0,10.217391304347826,Low,0,1
10,0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925.0,10.217391304347826,Low,0,1
11,0,188,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970.0,11.19047619047619,Medium,0,1
12,0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105.0,11.19047619047619,Medium,0,1
13,1,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565.0,11.75,Medium,0,1
14,0,122,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,30760.0,14.6875,Medium,0,1
15,0,122,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.9430555555555556,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,41315.0,14.6875,Medium,0,1
16,0,122,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9847222222222223,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15,20,36880.0,15.666666666666666,Medium,0,1
