label	body_text	body_text_nostop
ham	I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.	['ive', 'searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']
spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's	['free', 'entry', '2', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', '21st', 'may', '2005', 'text', 'fa', '87121', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply', '08452810075over18s']
ham	Nah I don't think he goes to usf, he lives around here though	['nah', 'dont', 'think', 'goes', 'usf', 'lives', 'around', 'though']
ham	Even my brother is not like to speak with me. They treat me like aids patent.	['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']
ham	I HAVE A DATE ON SUNDAY WITH WILL!!	['date', 'sunday']
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', '9', 'copy', 'friends', 'callertune']
spam	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.	['winner', 'valued', 'network', 'customer', 'selected', 'receivea', '900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hours']
spam	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030	['mobile', '11', 'months', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free', '08002986030']
ham	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.	['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']
spam	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info	['six', 'chances', 'win', 'cash', '100', '20000', 'pounds', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']
spam	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18	['urgent', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']
spam	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL	['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']
ham	Oh k...i'm watching here:)	['oh', 'kim', 'watching']
ham	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.	['eh', 'u', 'remember', '2', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']
ham	Fine if thats the way u feel. Thats the way its gota b	['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']
spam	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+	['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', '87077', 'eg', 'england', '87077', 'trywales', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']
ham	Is that seriously how you spell his name?	['seriously', 'spell', 'name']
ham	I‘m going to try for 2 months ha ha only joking	['going', 'try', '2', 'months', 'ha', 'ha', 'joking']
ham	So ü pay first lar... Then when is da stock comin...	['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']
ham	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?	['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']
ham	Ffffffffff. Alright no way I can meet up with you sooner?	['ffffffffff', 'alright', 'way', 'meet', 'sooner']
ham	Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol	['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'im', 'sick', 'turn', 'pizza', 'lol']
ham	Lol your always so convincing.	['lol', 'always', 'convincing']
ham	Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?	['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'love', '']
ham	I'm back &amp; we're packing the car now, I'll let you know if there's room	['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'theres', 'room']
ham	Ahhh. Work. I vaguely remember that! What does it feel like? Lol	['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']
ham	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us	['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']
ham	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 	['yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'badly', 'cheers', '']
ham	K tell me anything about you.	['k', 'tell', 'anything']
ham	For fear of fainting with the of all that housework you just did? Quick have a cuppa	['fear', 'fainting', 'housework', 'quick', 'cuppa']
spam	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged	['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '5month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']
ham	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am	['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']
ham	Oops, I'll let you know when my roommate's done	['oops', 'ill', 'let', 'know', 'roommates', 'done']
ham	I see the letter B on my car	['see', 'letter', 'b', 'car']
ham	Anything lor... U decide...	['anything', 'lor', 'u', 'decide']
ham	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!	['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']
ham	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola	['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']
ham	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy	['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']
spam	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow	['07732584351', 'rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', '08000930705', 'delivery', 'tomorrow']
ham	WHO ARE YOU SEEING?	['seeing']
ham	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...	['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']
ham	No calls..messages..missed calls	['callsmessagesmissed', 'calls']
ham	Didn't you get hep b immunisation in nigeria.	['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']
ham	Fair enough, anything going on?	['fair', 'enough', 'anything', 'going']
ham	Yeah hopefully, if tyler can't do it I could maybe ask around a bit	['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']
ham	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.	['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'im', 'weak', 'sucker', 'hospitals', 'weak', 'suckers']
ham	What you thinked about me. First time you saw me in class.	['thinked', 'first', 'time', 'saw', 'class']
ham	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;	['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']
ham	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight	['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']
ham	"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."	['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'im', 'sorry', 'didnt', 'dont', 'give', 'im', 'sorry', 'offered', 'im', 'sorry', 'room', 'embarassing']
spam	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV	['sms', 'ac', 'sptv', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']
ham	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;	['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']
spam	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 	['congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45we', '150pm', 'dont', 'miss', '']
ham	Sorry, I'll call later in meeting.	['sorry', 'ill', 'call', 'later', 'meeting']
ham	Tell where you reached	['tell', 'reached']
ham	Yes..gauti and sehwag out of odi series.	['yesgauti', 'sehwag', 'odi', 'series']
ham	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.	['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']
ham	Ha ha ha good joke. Girls are situation seekers.	['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'situation', 'seekers']
ham	Its a part of checking IQ	['part', 'checking', 'iq']
ham	Sorry my roommates took forever, it ok if I come by now?	['sorry', 'roommates', 'took', 'forever', 'ok', 'come']
ham	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.	['ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']
spam	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589	['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', '1500', 'bonus', 'prize', 'call', '09066364589']
ham	"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."	['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']
spam	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ	['urgent', 'ur', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry41', '1000', 'claim', 'txt', 'dis', '87121', '186', '150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']
spam	"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"	['hear', 'new', 'divorce', 'barbie', 'comes', 'kens', 'stuff']
ham	I plane to give on this month end.	['plane', 'give', 'month', 'end']
ham	Wah lucky man... Then can save money... Hee...	['wah', 'lucky', 'man', 'save', 'money', 'hee']
ham	Finished class where are you.	['finished', 'class']
ham	HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX	['hi', 'babe', 'im', 'home', 'wanna', 'something', 'xx']
ham	K..k:)where are you?how did you performed?	['kkwhere', 'youhow', 'performed']
ham	U can call me now...	['u', 'call']
ham	I am waiting machan. Call me once you free.	['waiting', 'machan', 'call', 'free']
ham	Thats cool. i am a gentleman and will treat you with dignity and respect.	['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']
ham	I like you peoples very much:) but am very shy pa.	['like', 'peoples', 'much', 'shy', 'pa']
ham	Does not operate after  &lt;#&gt;  or what	['operate', 'ltgt']
ham	Its not the same here. Still looking for a job. How much do Ta's earn there.	['still', 'looking', 'job', 'much', 'tas', 'earn']
ham	Sorry, I'll call later	['sorry', 'ill', 'call', 'later']
ham	K. Did you call me just now ah? 	['k', 'call', 'ah', '']
ham	Ok i am on the way to home hi hi	['ok', 'way', 'home', 'hi', 'hi']
ham	You will be in the place of that man	['place', 'man']
ham	Yup next stop.	['yup', 'next', 'stop']
ham	I call you later, don't have network. If urgnt, sms me.	['call', 'later', 'dont', 'network', 'urgnt', 'sms']
ham	For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.	['real', 'u', 'getting', 'yo', 'need', '2', 'tickets', 'one', 'jacket', 'im', 'done', 'already', 'used', 'multis']
ham	Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.	['yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'double', 'coins', 'factory', 'gotta', 'cash', 'nitros']
ham	I'm really not up to it still tonight babe	['im', 'really', 'still', 'tonight', 'babe']
ham	Ela kano.,il download, come wen ur free..	['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']
ham	Yeah do! Don‘t stand to close tho- you‘ll catch something!	['yeah', 'stand', 'close', 'tho', 'catch', 'something']
ham	Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 	['sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheets', 'sorry', '']
ham	Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!	['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum1', 'hurts', 'u', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'u', 'smiling']
spam	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!	['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', '1000', 'cash', '5000', 'prize']
ham	Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?	['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'already']
spam	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"	['free', 'ringtone', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', '85069', 'verify', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']
ham	Watching telugu movie..wat abt u?	['watching', 'telugu', 'moviewat', 'abt', 'u']
ham	i see. When we finish we have loads of loans to pay	['see', 'finish', 'loads', 'loans', 'pay']
ham	"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""	['hi', 'wk', 'ok', 'hols', 'yes', 'bit', 'run', 'forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']
ham	I see a cup of coffee animation	['see', 'cup', 'coffee', 'animation']
ham	Please don't text me anymore. I have nothing else to say.	['please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']
ham	Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx	['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'ams', 'xx']
ham	I'm still looking for a car to buy. And have not gone 4the driving test yet.	['im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', '9', 'copy', 'friends', 'callertune']
ham	wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.	['wow', 'youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'cuz', 'signin', 'page', 'still', 'says', 'boston']
ham	Umma my life and vava umma love you lot dear	['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']
ham	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.	['thanks', 'lot', 'wishes', 'birthday', 'thanks', 'making', 'birthday', 'truly', 'memorable']
ham	Aight, I'll hit you up when I get some cash	['aight', 'ill', 'hit', 'get', 'cash']
ham	How would my ip address test that considering my computer isn't a minecraft server	['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']
ham	I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...	['know', 'grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']
ham	Dont worry. I guess he's busy.	['dont', 'worry', 'guess', 'hes', 'busy']
ham	What is the plural of the noun research?	['plural', 'noun', 'research']
ham	Going for dinner.msg you after.	['going', 'dinnermsg']
ham	I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.	['im', 'ok', 'wif', 'cos', 'like', '2', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']
spam	GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm	['gent', 'trying', 'contact', 'last', 'weekends', 'draw', 'shows', '1000', 'prize', 'guaranteed', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', '150ppm']
ham	Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?	['wa', 'ur', 'openin', 'sentence', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happened']
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.	['entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']
spam	You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 	['winner', 'u', 'specially', 'selected', '2', 'receive', '1000', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18', '']
ham	Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 	['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed', '']
ham	Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.	['hmmmy', 'uncle', 'informed', 'hes', 'paying', 'school', 'directly', 'pls', 'buy', 'food']
spam	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires	['private', '2004', 'account', 'statement', '07742676969', 'shows', '786', 'unredeemed', 'bonus', 'points', 'claim', 'call', '08719180248', 'identifier', 'code', '45239', 'expires']
spam	URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM	['urgent', 'mobile', 'awarded', '2000', 'bonus', 'caller', 'prize', '5903', 'final', 'try', 'contact', 'u', 'call', 'landline', '09064019788', 'box42wr29c', '150ppm']
ham	here is my new address -apples&pairs&all that malarky	['new', 'address', 'applespairsall', 'malarky']
spam	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	['todays', 'voda', 'numbers', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rates', 'app']
ham	I am going to sao mu today. Will be done only at 12 	['going', 'sao', 'mu', 'today', 'done', '12', '']
